diameter_min;diameter_max;pitch;3h4h_d_es_m;3h4h_d_ei_m;3h4h_d2_es_m;3h4h_d2_ei_m;3h4h_d1_es_m;4g_d_es_m;4g_d_ei_m;4g_d2_es_m;4g_d2_ei_m;4g_d1_es_m;4h_d_es_m;4h_d_ei_m;4h_d2_es_m;4h_d2_ei_m;4h_d1_es_m;5h4h_d_es_m;5h4h_d_ei_m;5h4h_d2_es_m;5h4h_d2_ei_m;5h4h_d1_es_m;5g6g_d_es_m;5g6g_d_ei_m;5g6g_d2_es_m;5g6g_d2_ei_m;5g6g_d1_es_m;5h6h_d_es_m;5h6h_d_ei_m;5h6h_d2_es_m;5h6h_d2_ei_m;5h6h_d1_es_m;6d_d_es_m;6d_d_ei_m;6d_d2_es_m;6d_d2_ei_m;6d_d1_es_m;6e_d_es_m;6e_d_ei_m;6e_d2_es_m;6e_d2_ei_m;6e_d1_es_m;6f_d_es_m;6f_d_ei_m;6f_d2_es_m;6f_d2_ei_m;6f_d1_es_m;6g_d_es_m;6g_d_ei_m;6g_d2_es_m;6g_d2_ei_m;6g_d1_es_m;6h_d_es_m;6h_d_ei_m;6h_d2_es_m;6h_d2_ei_m;6h_d1_es_m;7e6e_d_es_m;7e6e_d_ei_m;7e6e_d2_es_m;7e6e_d2_ei_m;7e6e_d1_es_m;7g6g_d_es_m;7g6g_d_ei_m;7g6g_d2_es_m;7g6g_d2_ei_m;7g6g_d1_es_m;7h6h_d_es_m;7h6h_d_ei_m;7h6h_d2_es_m;7h6h_d2_ei_m;7h6h_d1_es_m;8g_d_es_m;8g_d_ei_m;8g_d2_es_m;8g_d2_ei_m;8g_d1_ei_m;8h_d_es_m;8h_d_ei_m;8h_d2_es_m;8h_d2_ei_m;8h_d1_ei_m;8h6h_d_es_m;8h6h_d_ei_m;8h6h_d2_es_m;8h6h_d2_ei_m;8h6h_d1_ei_m;9g8g_d_es_m;9g8g_d_ei_m;9g8g_d2_es_m;9g8g_d2_ei_m;9g8g_d1_ei_m;4h_d_ei_f;4h_d2_es_f;4h_d2_ei_f;4h_d1_es_f;4h_d1_ei_f;4h5h_d_ei_f;4h5h_d2_es_f;4h5h_d2_ei_f;4h5h_d1_es_f;4h5h_d1_ei_f;5g_d_ei_f;5g_d2_es_f;5g_d2_ei_f;5g_d1_es_f;5g_d1_ei_f;5h_d_ei_f;5h_d2_es_f;5h_d2_ei_f;5h_d1_es_f;5h_d1_ei_f;6g_d_ei_f;6g_d2_es_f;6g_d2_ei_f;6g_d1_es_f;6g_d1_ei_f;6h_d_ei_f;6h_d2_es_f;6h_d2_ei_f;6h_d1_es_f;6h_d1_ei_f;7g_d_ei_f;7g_d2_es_f;7g_d2_ei_f;7g_d1_es_f;7g_d1_ei_f;7h_d_ei_f;7h_d2_es_f;7h_d2_ei_f;7h_d1_es_f;7h_d1_ei_f;8g_d_ei_f;8g_d2_es_f;8g_d2_ei_f;8g_d1_es_f;8g_d1_ei_f;8h_d_ei_f;8h_d2_es_f;8h_d2_ei_f;8h_d1_es_f;8h_d1_ei_f
22.4;45;2;0;-180;0;-85;0;-38;-218;-38;-144;-38;0;-180;0;-106;0;0;-180;0;-132;0;-38;-318;-38;-170;-38;0;-280;0;-132;0;-100;-380;-100;-270;-100;-71;-351;-71;-241;-71;-52;-332;-52;-222;-52;-38;-318;-38;-208;-38;0;-280;0;-170;0;-71;-351;-71;-283;-71;-38;-318;-38;-250;-38;0;-280;0;-212;0;-38;-488;-38;-303;-38;0;-450;0;-265;0;;;;;;-38;-488;-38;-373;-38;0;140;0;236;0;0;140;0;300;0;38;218;38;338;38;0;180;0;300;0;38;262;38;413;38;0;224;0;375;0;38;318;38;513;38;0;280;0;475;0;38;393;38;638;38;0;355;0;600;0
22.4;45;3;0;-236;0;-100;0;-48;-284;-48;-173;-48;0;-236;0;-125;0;0;-236;0;-160;0;-48;-423;-48;-208;-48;0;-375;0;-160;0;-112;-487;-112;-312;-112;-85;-460;-85;-285;-85;-63;-438;-63;-263;-63;-48;-423;-48;-248;-48;0;-375;0;-200;0;-85;-460;-85;-335;-85;-48;-423;-48;-298;-48;0;-375;0;-250;0;-48;-648;-48;-363;-48;0;-600;0;-315;0;;;;;;-48;-648;-48;-448;-48;0;170;0;315;0;0;170;0;400;0;48;260;48;448;48;0;212;0;400;0;48;313;48;548;48;0;265;0;500;0;48;383;48;678;48;0;335;0;630;0;48;473;48;848;48;0;425;0;800;0
22.4;45;3.5;0;-265;0;-106;0;-53;-318;-53;-185;-53;0;-265;0;-132;0;0;-265;0;-170;0;-53;-478;-53;-223;-53;0;-425;0;-170;0;-118;-543;-118;-330;-118;-90;-515;-90;-302;-90;-70;-495;-70;-282;-70;-53;-478;-53;-265;-53;0;-425;0;-212;0;-90;-515;-90;-355;-90;-53;-478;-53;-318;-53;0;-425;0;-265;0;-53;-723;-53;-388;-53;0;-670;0;-335;0;;;;;;-53;-723;-53;-478;-53;0;180;0;355;0;0;180;0;450;0;53;277;53;503;53;0;224;0;450;0;53;333;53;613;53;0;280;0;560;0;53;408;53;763;53;0;355;0;710;0;53;503;53;953;53;0;450;0;900;0
22.4;45;4;0;-300;0;-112;0;-60;-360;-60;-200;-60;0;-300;0;-140;0;0;-300;0;-180;0;-60;-535;-60;-240;-60;0;-475;0;-180;0;-125;-600;-125;-349;-125;-95;-570;-95;-319;-95;-75;-550;-75;-299;-75;-60;-535;-60;-284;-60;0;-475;0;-224;0;-95;-570;-95;-375;-95;-60;-535;-60;-340;-60;0;-475;0;-280;0;-60;-810;-60;-415;-60;0;-750;0;-355;0;;;;;;-60;-810;-60;-510;-60;0;190;0;375;0;0;190;0;475;0;60;296;60;535;60;0;236;0;475;0;60;360;60;660;60;0;300;0;600;0;60;435;60;810;60;0;375;0;750;0;60;535;60;1010;60;0;475;0;950;0
22.4;45;4.5;0;-315;0;-118;0;-63;-378;-63;-213;-63;0;-315;0;-150;0;0;-315;0;-190;0;-63;-563;-63;-253;-63;0;-500;0;-190;0;-132;-632;-132;-368;-132;-100;-600;-100;-336;-100;-80;-580;-80;-316;-80;-63;-563;-63;-299;-63;0;-500;0;-236;0;-100;-600;-100;-400;-100;-63;-563;-63;-363;-63;0;-500;0;-300;0;-63;-863;-63;-438;-63;0;-800;0;-375;0;;;;;;-63;-863;-63;-538;-63;0;200;0;425;0;0;200;0;530;0;63;313;63;593;63;0;250;0;530;0;63;378;63;733;63;0;315;0;670;0;63;463;63;913;63;0;400;0;850;0;63;563;63;1123;63;0;500;0;1060;0
45;90;0.5;0;-67;0;-50;0;-20;-87;-20;-83;-20;0;-67;0;-63;0;0;-67;0;-80;0;-20;-126;-20;-100;-20;0;-106;0;-80;0;;;;;;-50;-156;-50;-150;-50;-36;-142;-36;-136;-36;-20;-126;-20;-120;-20;0;-106;0;-100;0;-50;-156;-50;-175;-50;-20;-126;-20;-145;-20;0;-106;0;-125;0;;;;;;;;;;;;;;;;;;;;;0;85;0;90;0;0;85;0;112;0;20;126;20;132;20;0;106;0;112;0;20;152;20;160;20;0;132;0;140;0;;;;;;;;;;;;;;;;;;;;
45;90;0.75;0;-90;0;-60;0;-22;-112;-22;-97;-22;0;-90;0;-75;0;0;-90;0;-95;0;-22;-162;-22;-117;-22;0;-140;0;-95;0;;;;;;-56;-196;-56;-174;-56;-38;-178;-38;-156;-38;-22;-162;-22;-140;-22;0;-140;0;-118;0;-56;-196;-56;-206;-56;-22;-162;-22;-172;-22;0;-140;0;-150;0;;;;;;;;;;;;;0;;;;;;;;0;100;0;118;0;0;100;0;150;0;22;147;22;172;22;0;125;0;150;0;22;182;22;212;22;0;160;0;190;0;;;;;;;;;;;;;;;;;;;;
45;90;1;0;-112;0;-71;0;-26;-138;-26;-116;-26;0;-112;0;-90;0;0;-112;0;-112;0;-26;-206;-26;-138;-26;0;-180;0;-112;0;-90;-270;-90;-230;-90;-60;-240;-60;-200;-60;-40;-220;-40;-180;-40;-26;-206;-26;-166;-26;0;-180;0;-140;0;-60;-240;-60;-240;-60;-26;-206;-26;-206;-26;0;-180;0;-180;0;-26;-306;-26;-250;-26;0;-280;0;-224;0;;;;;;-26;-306;-26;-306;-26;0;118;0;150;0;0;118;0;190;0;26;176;26;216;26;0;150;0;190;0;26;216;26;262;26;0;190;0;236;0;26;262;26;326;26;0;236;0;300;0;26;326;26;401;26;0;300;0;375;0
45;90;1.5;0;-150;0;-80;0;-32;-182;-32;-132;-32;0;-150;0;-100;0;0;-150;0;-125;0;-32;-268;-32;-157;-32;0;-236;0;-125;0;-95;-331;-95;-255;-95;-67;-303;-67;-227;-67;-45;-281;-45;-205;-45;-32;-268;-32;-192;-32;0;-236;0;-160;0;-67;-303;-67;-267;-67;-32;-268;-32;-232;-32;0;-236;0;-200;0;-32;-407;-32;-282;-32;0;-375;0;-250;0;;;;;;-32;-407;-32;-347;-32;0;132;0;190;0;0;132;0;236;0;32;202;32;268;32;0;170;0;236;0;32;244;32;332;32;0;212;0;300;0;32;297;32;407;32;0;265;0;375;0;32;367;32;507;32;0;335;0;475;0
45;90;2;0;-180;0;-90;0;-38;-218;-38;-150;-38;0;-180;0;-112;0;0;-180;0;-140;0;-38;-318;-38;-178;-38;0;-280;0;-140;0;-100;-380;-100;-280;-100;-71;-351;-71;-251;-71;-52;-332;-52;-232;-52;-38;-318;-38;-218;-38;0;-280;0;-180;0;-71;-351;-71;-295;-71;-38;-318;-38;-262;-38;0;-280;0;-224;0;-38;-488;-38;-318;-38;0;-450;0;-280;0;;;;;;-38;-488;-38;-393;-38;0;150;0;236;0;0;150;0;300;0;38;228;38;338;38;0;190;0;300;0;38;274;38;413;38;0;236;0;375;0;38;338;38;513;38;0;300;0;475;0;38;413;38;638;38;0;375;0;600;0
45;90;3;0;-236;0;-106;0;-48;-284;-48;-180;-48;0;-236;0;-132;0;0;-236;0;-170;0;-48;-423;-48;-218;-48;0;-375;0;-170;0;-112;-487;-112;-324;-112;-85;-460;-85;-297;-85;-63;-438;-63;-275;-63;-48;-423;-48;-260;-48;0;-375;0;-212;0;-85;-460;-85;-350;-85;-48;-423;-48;-313;-48;0;-375;0;-265;0;-48;-648;-48;-383;-48;0;-600;0;-335;0;;;;;;-48;-648;-48;-473;-48;0;180;0;315;0;0;180;0;400;0;48;272;48;448;48;0;224;0;400;0;48;328;48;548;48;0;280;0;500;0;48;403;48;678;48;0;355;0;630;0;48;498;48;848;48;0;450;0;800;0
45;90;4;0;-300;0;-118;0;-60;-360;-60;-210;-60;0;-300;0;-150;0;0;-300;0;-190;0;-60;-535;-60;-250;-60;0;-475;0;-190;0;-125;-600;-125;-361;-125;-95;-570;-95;-331;-95;-75;-550;-75;-311;-75;-60;-535;-60;-296;-60;0;-475;0;-236;0;-95;-570;-95;-395;-95;-60;-535;-60;-360;-60;0;-475;0;-300;0;-60;-810;-60;-435;-60;0;-750;0;-375;0;;;;;;-60;-810;-60;-535;-60;0;200;0;375;0;0;200;0;475;0;60;310;60;535;60;0;250;0;475;0;60;375;60;660;60;0;315;0;600;0;60;460;60;810;60;0;400;0;750;0;60;560;60;1010;60;0;500;0;950;0
45;90;5;0;-335;0;-125;0;-71;-406;-71;-231;-71;0;-335;0;-160;0;0;-335;0;-200;0;-71;-601;-71;-271;-71;0;-530;0;-200;0;-132;-662;-132;-382;-132;-106;-636;-106;-356;-106;-85;-615;-85;-335;-85;-71;-601;-71;-321;-71;0;-530;0;-250;0;-106;-636;-106;-421;-106;-71;-601;-71;-386;-71;0;-530;0;-315;0;-71;-921;-71;-471;-71;0;-850;0;-400;0;;;;;;-71;-921;-71;-571;-71;0;212;0;450;0;0;212;0;560;0;71;336;71;631;71;0;265;0;560;0;71;406;71;781;71;0;335;0;710;0;71;496;71;971;71;0;425;0;900;0;71;601;71;1191;71;0;530;0;1120;0
45;90;5.5;0;-355;0;-132;0;-75;-430;-75;-245;-75;0;-355;0;-170;0;0;-355;0;-212;0;-75;-635;-75;-287;-75;0;-560;0;-212;0;-140;-700;-140;-405;-140;-112;-672;-112;-377;-112;-90;-650;-90;-355;-90;-75;-635;-75;-340;-75;0;-560;0;-265;0;-112;-672;-112;-447;-112;-75;-635;-75;-410;-75;0;-560;0;-335;0;-75;-975;-75;-500;-75;0;-900;0;-425;0;;;;;;-75;-975;-75;-605;-75;0;224;0;475;0;0;224;0;600;0;75;355;75;675;75;0;280;0;600;0;75;430;75;825;75;0;355;0;750;0;75;525;75;1025;75;0;450;0;950;0;75;635;75;1255;75;0;560;0;1180;0
45;90;6;0;-375;0;140;0;-80;-455;-80;-260;-80;0;-375;0;-180;0;0;-375;0;-224;0;-80;-680;-80;-304;-80;0;-600;0;-224;0;-150;-750;-150;-430;-150;-118;-718;-118;-398;-118;-95;-695;-95;-375;-95;-80;-680;-80;-360;-80;0;-600;0;-280;0;-118;-718;-118;-473;-118;-80;-680;-80;-435;-80;0;-600;0;-355;0;-80;-1030;-80;-530;-80;0;-950;0;-450;0;;;;;;-80;-1030;-80;-640;-80;0;236;0;500;0;0;236;0;630;0;80;380;80;710;80;0;300;0;630;0;80;455;80;880;80;0;375;0;800;0;80;555;80;1080;80;0;475;0;1000;0;80;680;80;1330;80;0;600;0;1250;0
90;180;0.75;0;-90;0;-63;0;-22;-112;-22;-102;-22;0;-90;0;-80;0;0;-90;0;-100;0;-22;-162;-22;-122;-22;0;-140;0;-100;0;;;;;;-56;-196;-56;-181;-56;-38;-178;-38;-163;-38;-22;-162;-22;-147;-22;0;-140;0;-125;0;-56;-196;-56;-216;-56;-22;-162;-22;-182;-22;0;-140;0;-160;0;;;;;;;;;;;;;;;;;;;;;0;106;0;118;0;0;106;0;150;0;22;154;22;172;22;0;132;0;150;0;22;192;22;212;22;0;170;0;190;0;;;;;;;;;;;;;;;;;;;;
90;180;1;0;-112;0;-75;0;-26;-138;-26;-121;-26;0;-112;0;-95;0;0;-112;0;-118;0;-26;-206;-26;-144;-26;0;-180;0;-118;0;-90;-270;-90;-240;-90;-60;-240;-60;-210;-60;-40;-220;-40;-190;-40;-26;-206;-26;-176;-26;0;-180;0;-150;0;-60;-240;-60;-250;-60;-26;-206;-26;-216;-26;0;-180;0;-190;0;;;;;;;;;;;;;;;;;;;;;0;125;0;150;0;0;125;0;190;0;26;186;26;216;26;0;160;0;190;0;26;226;26;262;26;0;200;0;236;0;26;276;26;326;26;0;250;0;300;0;;;;;;;;;;
90;180;1.5;0;-150;0;-85;0;-32;-182;-32;-138;-32;0;-150;0;-106;0;0;-150;0;-132;0;-32;-268;-32;-164;-32;0;-236;0;-132;0;-95;-331;-95;-265;-95;-67;-303;-67;-237;-67;-45;-281;-45;-215;-45;-32;-268;-32;-202;-32;0;-236;0;-170;0;-67;-303;-67;-279;-67;-32;-268;-32;-244;-32;0;-236;0;-212;0;-32;-407;-32;-297;-32;0;-375;0;-265;0;;;;;;-32;-407;-32;-367;-32;0;140;0;190;0;0;140;0;236;0;32;212;32;268;32;0;180;0;236;0;32;256;32;332;32;0;224;0;300;0;32;312;32;407;32;0;280;0;375;0;32;387;32;507;32;0;355;0;475;0
90;180;2;0;-180;0;-95;0;-38;-218;-38;-156;-38;0;-180;0;-118;0;0;-180;0;-150;0;-38;-318;-38;-188;-38;0;-280;0;-150;0;-100;-380;-100;-290;-100;-71;-351;-71;-261;-71;-52;-332;-52;-242;-52;-38;-318;-38;-228;-38;0;-280;0;-190;0;-71;-351;-71;-307;-71;-38;-318;-38;-274;-38;0;-280;0;-236;0;-38;-488;-38;-338;-38;0;-450;0;-300;0;;;;;;-38;-488;-38;-413;-38;0;160;0;236;0;0;160;0;300;0;38;238;38;338;38;0;200;0;300;0;38;288;38;413;38;0;250;0;375;0;38;353;38;513;38;0;315;0;475;0;38;438;38;638;38;0;400;0;600;0
90;180;3;0;-236;0;-112;0;-48;-284;-48;-188;-48;0;-236;0;-140;0;0;-236;0;-180;0;-48;-423;-48;-228;-48;0;-375;0;-180;0;-112;-487;-112;-336;-112;-85;-460;-85;-309;-85;-63;-438;-63;-287;-63;-48;-423;-48;-272;-48;0;-375;0;-224;0;-85;-460;-85;-365;-85;-48;-423;-48;-328;-48;0;-375;0;-280;0;-48;-648;-48;-403;-48;0;-600;0;-355;0;;;;;;-48;-648;-48;-498;-48;0;190;0;315;0;0;190;0;400;0;48;284;48;448;48;0;235;0;400;0;48;348;48;548;48;0;300;0;500;0;48;423;48;678;48;0;375;0;630;0;48;523;48;848;48;0;475;0;800;0
90;180;4;0;-300;0;-125;0;-60;-360;-60;-220;-60;0;-300;0;-160;0;0;-300;0;-200;0;-60;-535;-60;-260;-60;0;-475;0;-200;0;-125;-600;-125;-375;-125;-95;-570;-95;-345;-95;-75;-550;-75;-325;-75;-60;-535;-60;-310;-60;0;-475;0;-250;0;-95;-510;-95;-410;-95;-60;-535;-60;-375;-60;0;-475;0;-315;0;-60;-810;-60;-460;-60;0;-750;0;-400;0;;;;;;-60;-810;-60;-560;-60;0;212;0;375;0;0;212;0;475;0;60;325;60;535;60;0;265;0;475;0;60;395;60;660;60;0;335;0;600;0;60;485;60;810;60;0;425;0;750;0;60;590;60;1010;60;0;530;0;950;0
90;180;6;0;-375;0;-150;0;-80;-455;-80;-270;-80;0;-375;0;-190;0;0;-375;0;-236;0;-80;-680;-80;-316;-80;0;-600;0;-236;0;-150;-750;-150;-450;-150;-118;-718;-118;-418;-118;-95;-695;-95;-395;-95;-80;-680;-80;-380;-80;0;-600;0;-300;0;-118;-718;-118;-493;-118;-80;-680;-80;-455;-80;0;-600;0;-375;0;-80;-1030;-80;-555;-80;0;-950;0;-475;0;;;;;;-80;-1030;-80;-680;-80;0;250;0;500;0;0;250;0;630;0;80;395;80;710;80;0;315;0;630;0;80;480;80;880;80;0;400;0;800;0;80;580;80;1080;80;0;500;0;1000;0;80;710;80;1330;80;0;630;0;1250;0
90;180;8;0;-450;0;-170;0;-100;-550;-100;-312;-100;0;-450;0;-212;0;0;-450;0;-265;0;-100;-810;-100;-365;-100;0;-710;0;-265;0;;;;;;-140;-850;-140;-475;-140;-118;-828;-118;-453;-118;-100;-810;-100;-435;-100;0;-710;0;-335;0;-140;-850;-140;-565;-140;-100;-810;-100;-525;-100;0;-710;0;-425;0;-100;-1280;-100;-630;-100;0;-1180;0;-530;0;;;;;;-100;-1280;-100;-770;-100;0;280;0;630;0;0;280;0;800;0;100;455;100;900;100;0;355;0;800;0;100;550;100;1100;100;0;450;0;1000;0;100;660;100;1350;100;0;560;0;1250;0;100;810;100;1700;100;0;710;0;1600;0
180;355;1.5;0;-150;0;-90;0;-32;-182;-32;-144;-32;0;-150;0;-112;0;0;-150;0;-140;0;-32;-268;-32;-172;-32;0;-236;0;-140;0;-95;-331;-95;-275;-95;-67;-303;-67;-247;-67;-45;-281;-45;-225;-45;-32;-268;-32;-212;-32;0;-236;0;-180;0;-67;-303;-67;-291;-67;-32;-268;-32;-256;-32;0;-236;0;-224;0;-32;-407;-32;-312;-32;0;-375;0;-280;0;;;;;;-32;-407;-32;-387;-32;0;150;0;190;0;0;150;0;236;0;32;222;32;268;32;0;190;0;236;0;32;268;32;332;32;0;236;0;300;0;32;332;32;407;32;0;300;0;375;0;32;407;32;507;32;0;375;0;475;0
180;355;2;0;-180;0;-106;0;-38;-218;-38;-170;-38;0;-180;0;-132;0;0;-180;0;-170;0;-38;-318;-38;-208;-38;0;-280;0;-170;0;-100;-380;-100;-312;-100;-71;-351;-71;-283;-71;-52;-332;-52;-264;-52;-38;-318;-38;-250;-38;0;-280;0;-212;0;-71;-351;-71;-336;-71;-38;-318;-38;-303;-38;0;-280;0;-265;0;-38;-488;-38;-373;-38;0;-450;0;-335;0;;;;;;-38;-488;-38;-463;-38;0;180;0;236;0;0;180;0;300;0;38;262;38;338;38;0;224;0;300;0;38;318;38;413;38;0;280;0;375;0;38;393;38;513;38;0;355;0;475;0;38;488;38;638;38;0;450;0;600;0
180;355;3;0;-236;0;-125;0;-48;-284;-48;-208;-48;0;-236;0;-160;0;0;-236;0;-200;0;-48;-423;-48;-248;-48;0;-375;0;-200;0;-112;-487;-112;-362;-112;-85;-460;-85;-335;-85;-63;-438;-63;-313;-63;-48;-423;-48;-298;-48;0;-375;0;-250;0;-85;-460;-85;-400;-85;-48;-423;-48;-363;-48;0;-375;0;-315;0;-48;-648;-48;-448;-48;0;-600;0;-400;0;;;;;;-48;-648;-48;-548;-48;0;212;0;315;0;0;212;0;400;0;48;313;48;448;48;0;265;0;400;0;48;383;48;548;48;0;335;0;500;0;48;473;48;678;48;0;425;0;630;0;48;578;48;848;48;0;530;0;800;0
180;355;4;0;-300;0;-140;0;-60;-360;-60;-240;-60;0;-300;0;-180;0;0;-300;0;-224;0;-60;-535;-60;-284;-60;0;-475;0;-224;0;-125;-600;-125;-405;-125;-95;-570;-95;-375;-95;-75;-550;-75;-355;-75;-60;-535;-60;-340;-60;0;-475;0;-280;0;-95;-570;-95;-450;-95;-60;-535;-60;-415;-60;0;-475;0;-355;0;-60;-810;-60;-510;-60;0;-750;0;-450;0;;;;;;-60;-810;-60;-620;-60;0;236;0;375;0;0;236;0;475;0;60;360;60;535;60;0;300;0;475;0;60;435;60;660;60;0;375;0;600;0;60;535;60;810;60;0;475;0;750;0;60;660;60;1010;60;0;600;0;950;0
180;355;6;0;-375;0;-160;0;-80;-455;-80;-280;-80;0;-375;0;-200;0;0;-375;0;-250;0;-80;-680;-80;-330;-80;0;-600;0;-250;0;-150;-750;-150;-465;-150;-118;-718;-118;-433;-118;-95;-695;-95;-410;-95;-80;-680;-80;-395;-80;0;-600;0;-315;0;-118;-718;-118;-518;-118;-80;-680;-80;-480;-80;0;-600;0;-400;0;-80;-1030;-80;-580;-80;0;-950;0;-500;0;;;;;;-80;-1030;-80;-710;-80;0;265;0;500;0;0;265;0;630;0;80;415;80;710;80;0;335;0;630;0;80;505;80;880;80;0;425;0;800;0;80;610;80;1080;80;0;530;0;1000;0;80;750;80;1330;80;0;670;0;1250;0
180;355;8;0;-450;0;-180;0;-100;-550;-100;-324;-100;0;-450;0;-224;0;0;-450;0;-280;0;-100;-810;-100;-380;-100;0;-710;0;-280;0;;;;;;-140;-850;-140;-495;-140;-118;-828;-118;-473;-118;-100;-810;-100;-455;-100;0;-710;0;-355;0;-140;-850;-140;-590;-140;-100;-810;-100;-550;-100;0;-710;0;-450;0;-100;-1280;-100;-660;-100;0;-1180;0;-560;0;;;;;;-100;-1280;-100;-810;-100;0;300;0;630;0;0;300;0;800;0;100;475;100;900;100;0;375;0;800;0;100;575;100;1100;100;0;475;0;1000;0;100;700;100;1350;100;0;600;0;1250;0;100;850;100;1700;100;0;750;0;1600;0
355;600;2;0;-180;0;-112;0;-38;-218;-38;-178;-38;0;-180;0;-140;0;0;-180;0;-180;0;-38;-318;-38;-218;-38;0;-280;0;-180;0;-100;-380;-100;-334;-100;-71;-351;-71;-295;-71;-52;-332;-52;-276;-52;-38;-318;-38;-262;-38;0;-280;0;-224;0;-71;-351;-71;-351;-71;-38;-318;-38;-318;-38;0;-280;0;-280;0;-38;-488;-38;-393;-38;0;-450;0;-355;0;;;;;;-38;-488;-38;-488;-38;0;190;0;236;0;0;190;0;300;0;38;274;38;338;38;0;236;0;300;0;38;338;38;413;38;0;300;0;375;0;38;413;38;513;38;0;375;0;475;0;38;513;38;638;38;0;475;0;600;0
355;600;4;0;-300;0;-150;0;-60;-360;-60;-250;-60;0;-300;0;-190;0;0;-300;0;-236;0;-60;-535;-60;-296;-60;0;-475;0;-236;0;-125;-600;-125;-425;-125;-95;-570;-95;-395;-95;-75;-550;-75;-311;-75;-60;-535;-60;-360;-60;0;-475;0;-300;0;-95;-570;-95;-470;-95;-60;-535;-60;-435;-60;0;-475;0;-375;0;-60;-810;-60;-535;-60;0;-750;0;-475;0;;;;;;-60;-810;-60;-660;-60;0;250;0;375;0;0;250;0;475;0;60;375;60;535;60;0;315;0;475;0;60;460;60;660;60;0;400;0;600;0;60;560;60;810;60;0;500;0;750;0;60;690;60;1010;60;0;630;0;950;0
355;600;6;0;-375;0;-170;0;-80;-455;-80;-292;-80;0;-375;0;-212;0;0;-375;0;-265;0;-80;-680;-80;-345;-80;0;-600;0;-265;0;-150;-750;-150;-485;-150;-118;-718;-118;-453;-118;-95;-695;-95;-395;-95;-80;-680;-80;-415;-80;0;-600;0;-335;0;-118;-718;-118;-543;-118;-80;-680;-80;-505;-80;0;-600;0;-425;0;-80;-1030;-80;-610;-80;0;-950;0;-530;0;;;;;;-80;-1030;-80;-750;-80;0;280;0;500;0;0;280;0;630;0;80;435;80;710;80;0;355;0;630;0;80;530;80;880;80;0;450;0;800;0;80;640;80;1080;80;0;560;0;1000;0;80;790;80;1330;80;0;710;0;1250;0
355;600;8;0;-450;0;-190;0;-100;-550;-100;-336;-100;0;-450;0;-236;0;0;-450;0;-300;0;-100;-810;-100;-400;-100;0;-710;0;-300;0;;;;;;-140;-850;-140;-515;-140;-118;-828;-118;-453;-118;-100;-810;-100;-475;-100;0;-710;0;-375;0;-140;-850;-140;-615;-140;-100;-810;-100;-575;-100;0;-710;0;-475;0;-100;-1280;-100;-700;-100;0;-1180;0;-600;0;;;;;;-100;-1280;-100;-850;-100;0;315;0;630;0;0;315;0;800;0;100;500;100;900;100;0;400;0;800;0;100;600;100;1100;100;0;500;0;1000;0;100;730;100;1350;100;0;630;0;1250;0;100;900;100;1700;100;0;800;0;1600;0
